b	T_key	t	phi_b	chi_b/pi	M_b	dy	y_end
1.75	s	0.00	63	0.500	0.130	1e-05	1000.0
1.75	s	0.00	72	0.500	0.088	1e-05	1000.0
1.50	s	0.00	 0	0.450	0.573	1e-05	1000.0
1.50	s	0.00	 0	0.400	0.607	1e-05	1000.0
1.50	s	0.00	 0	0.350	0.661	1e-05	1000.0
1.50	s	0.00	 0	0.300	0.744	1e-05	1000.0
1.50	s	0.00	 0	0.250	0.873	1e-05	1000.0
1.50	s	0.00	 9	0.450	0.510	1e-05	1000.0
1.50	s	0.00	 9	0.400	0.542	1e-05	1000.0
1.50	s	0.00	 9	0.350	0.592	1e-05	1000.0
1.50	s	0.00	 9	0.300	0.669	1e-05	1000.0
1.50	s	0.00	 9	0.250	0.789	1e-05	1000.0
1.50	s	0.00	18	0.450	0.452	1e-05	1000.0
1.50	s	0.00	18	0.400	0.480	1e-05	1000.0
1.50	s	0.00	18	0.350	0.525	1e-05	1000.0
1.50	s	0.00	18	0.300	0.595	1e-05	1000.0
1.50	s	0.00	18	0.250	0.705	1e-05	1000.0
1.50	s	0.00	27	0.450	0.395	1e-05	1000.0
1.50	s	0.00	27	0.400	0.419	1e-05	1000.0
1.50	s	0.00	27	0.350	0.459	1e-05	1000.0
1.50	s	0.00	27	0.300	0.521	1e-05	1000.0
1.50	s	0.00	27	0.250	0.619	1e-05	1000.0
1.50	s	0.00	36	0.450	0.338	1e-05	1000.0
1.50	s	0.00	36	0.400	0.359	1e-05	1000.0
1.50	s	0.00	36	0.350	0.392	1e-05	1000.0
1.50	s	0.00	36	0.300	0.445	1e-05	1000.0
1.50	s	0.00	36	0.250	0.528	1e-05	1000.0
1.50	s	0.00	45	0.450	0.281	1e-05	1000.0
1.50	s	0.00	45	0.400	0.298	1e-05	1000.0
1.50	s	0.00	45	0.350	0.325	1e-05	1000.0
1.50	s	0.00	45	0.300	0.367	1e-05	1000.0
1.50	s	0.00	45	0.250	0.435	1e-05	1000.0
1.50	s	0.00	54	0.450	0.225	1e-05	1000.0
1.50	s	0.00	54	0.400	0.237	1e-05	1000.0
1.50	s	0.00	54	0.350	0.258	1e-05	1000.0
1.50	s	0.00	54	0.300	0.290	1e-05	1000.0
1.50	s	0.00	54	0.250	0.342	1e-05	1000.0
1.50	s	0.00	63	0.450	0.168	1e-05	1000.0
1.50	s	0.00	63	0.400	0.176	1e-05	1000.0
1.50	s	0.00	63	0.350	0.191	1e-05	1000.0
1.50	s	0.00	63	0.300	0.214	1e-05	1000.0
1.50	s	0.00	63	0.250	0.250	1e-05	1000.0
1.50	s	0.00	72	0.450	0.111	1e-05	1000.0
1.50	s	0.00	72	0.400	0.117	1e-05	1000.0
1.50	s	0.00	72	0.350	0.126	1e-05	1000.0
1.50	s	0.00	72	0.300	0.140	1e-05	1000.0
1.50	s	0.00	72	0.250	0.163	1e-05	1000.0
